locus,p,dom,r,trait,alpha
1,0.5,0,,trait_1,NA
2,0.5,0,,trait_1,NA
3,0.5,0,,trait_1,NA
4,0.5,0,,trait_1,NA
5,0.5,0,,trait_2,NA
6,0.5,0,,trait_2,NA
7,0.5,0,,trait_2,NA
8,0.5,0,,trait_2,NA
9,0.5,0,,NA,NA
10,0.5,0,,NA,NA
11,0.5,0,,NA,NA
12,0.5,0,,NA,NA
13,0.5,0,,NA,NA
14,0.5,0,,NA,NA
15,0.5,0,,NA,NA
16,0.5,0,,NA,NA
17,0.5,0,,NA,NA
18,0.5,0,,NA,NA
19,0.5,0,,NA,NA
20,0.5,0,,NA,NA
21,0.5,0,,NA,NA
22,0.5,0,,NA,NA
23,0.5,0,,NA,NA
24,0.5,0,,NA,NA
25,0.5,0,,NA,NA
26,0.5,0,,NA,NA
27,0.5,0,,NA,NA
28,0.5,0,,NA,NA
29,0.5,0,,NA,NA
30,0.5,0,,NA,NA
31,0.5,0,,NA,NA
32,0.5,0,,NA,NA
33,0.5,0,,NA,NA
34,0.5,0,,NA,NA
35,0.5,0,,NA,NA
36,0.5,0,,NA,NA
37,0.5,0,,NA,NA
38,0.5,0,,NA,NA
39,0.5,0,,NA,NA
40,0.5,0,,NA,NA
41,0.5,0,,NA,NA
42,0.5,0,,NA,NA
43,0.5,0,,NA,NA
44,0.5,0,,NA,NA
45,0.5,0,,NA,NA
46,0.5,0,,NA,NA
47,0.5,0,,NA,NA
48,0.5,0,,NA,NA
49,0.5,0,,NA,NA
50,0.5,0,,NA,NA
51,0.5,0,,NA,NA
52,0.5,0,,NA,NA
53,0.5,0,,NA,NA
54,0.5,0,,NA,NA
55,0.5,0,,NA,NA
56,0.5,0,,NA,NA
57,0.5,0,,NA,NA
58,0.5,0,,NA,NA
59,0.5,0,,NA,NA
60,0.5,0,,NA,NA
61,0.5,0,,NA,NA
62,0.5,0,,NA,NA
63,0.5,0,,NA,NA
64,0.5,0,,NA,NA
65,0.5,0,,NA,NA
66,0.5,0,,NA,NA
67,0.5,0,,NA,NA
68,0.5,0,,NA,NA
69,0.5,0,,NA,NA
70,0.5,0,,NA,NA
71,0.5,0,,NA,NA
72,0.5,0,,NA,NA
73,0.5,0,,NA,NA
74,0.5,0,,NA,NA
75,0.5,0,,NA,NA
76,0.5,0,,NA,NA
77,0.5,0,,NA,NA
78,0.5,0,,NA,NA
79,0.5,0,,NA,NA
80,0.5,0,,NA,NA
81,0.5,0,,NA,NA
82,0.5,0,,NA,NA
83,0.5,0,,NA,NA
84,0.5,0,,NA,NA
85,0.5,0,,NA,NA
86,0.5,0,,NA,NA
87,0.5,0,,NA,NA
88,0.5,0,,NA,NA
89,0.5,0,,NA,NA
90,0.5,0,,NA,NA
91,0.5,0,,NA,NA
92,0.5,0,,NA,NA
93,0.5,0,,NA,NA
94,0.5,0,,NA,NA
95,0.5,0,,NA,NA
96,0.5,0,,NA,NA
97,0.5,0,,NA,NA
98,0.5,0,,NA,NA
99,0.5,0,,NA,NA
100,0.5,0,,NA,NA
101,0.5,0,,NA,NA
102,0.5,0,,NA,NA
103,0.5,0,,NA,NA
104,0.5,0,,NA,NA
105,0.5,0,,NA,NA
106,0.5,0,,NA,NA
107,0.5,0,,NA,NA
108,0.5,0,,NA,NA
109,0.5,0,,NA,NA
110,0.5,0,,NA,NA
111,0.5,0,,NA,NA
112,0.5,0,,NA,NA
113,0.5,0,,NA,NA
114,0.5,0,,NA,NA
115,0.5,0,,NA,NA
116,0.5,0,,NA,NA
117,0.5,0,,NA,NA
118,0.5,0,,NA,NA
119,0.5,0,,NA,NA
120,0.5,0,,NA,NA
121,0.5,0,,NA,NA
122,0.5,0,,NA,NA
123,0.5,0,,NA,NA
124,0.5,0,,NA,NA
125,0.5,0,,NA,NA
126,0.5,0,,NA,NA
127,0.5,0,,NA,NA
128,0.5,0,,NA,NA
129,0.5,0,,NA,NA
130,0.5,0,,NA,NA
131,0.5,0,,NA,NA
132,0.5,0,,NA,NA
133,0.5,0,,NA,NA
134,0.5,0,,NA,NA
135,0.5,0,,NA,NA
136,0.5,0,,NA,NA
137,0.5,0,,NA,NA
138,0.5,0,,NA,NA
139,0.5,0,,NA,NA
140,0.5,0,,NA,NA
141,0.5,0,,NA,NA
142,0.5,0,,NA,NA
143,0.5,0,,NA,NA
144,0.5,0,,NA,NA
145,0.5,0,,NA,NA
146,0.5,0,,NA,NA
147,0.5,0,,NA,NA
148,0.5,0,,NA,NA
149,0.5,0,,NA,NA
150,0.5,0,,NA,NA
151,0.5,0,,NA,NA
152,0.5,0,,NA,NA
153,0.5,0,,NA,NA
154,0.5,0,,NA,NA
155,0.5,0,,NA,NA
156,0.5,0,,NA,NA
157,0.5,0,,NA,NA
158,0.5,0,,NA,NA
159,0.5,0,,NA,NA
160,0.5,0,,NA,NA
161,0.5,0,,NA,NA
162,0.5,0,,NA,NA
163,0.5,0,,NA,NA
164,0.5,0,,NA,NA
165,0.5,0,,NA,NA
166,0.5,0,,NA,NA
167,0.5,0,,NA,NA
168,0.5,0,,NA,NA
169,0.5,0,,NA,NA
170,0.5,0,,NA,NA
171,0.5,0,,NA,NA
172,0.5,0,,NA,NA
173,0.5,0,,NA,NA
174,0.5,0,,NA,NA
175,0.5,0,,NA,NA
176,0.5,0,,NA,NA
177,0.5,0,,NA,NA
178,0.5,0,,NA,NA
179,0.5,0,,NA,NA
180,0.5,0,,NA,NA
181,0.5,0,,NA,NA
182,0.5,0,,NA,NA
183,0.5,0,,NA,NA
184,0.5,0,,NA,NA
185,0.5,0,,NA,NA
186,0.5,0,,NA,NA
187,0.5,0,,NA,NA
188,0.5,0,,NA,NA
189,0.5,0,,NA,NA
190,0.5,0,,NA,NA
191,0.5,0,,NA,NA
192,0.5,0,,NA,NA
193,0.5,0,,NA,NA
194,0.5,0,,NA,NA
195,0.5,0,,NA,NA
196,0.5,0,,NA,NA
197,0.5,0,,NA,NA
198,0.5,0,,NA,NA
199,0.5,0,,NA,NA
200,0.5,0,,NA,NA
201,0.5,0,,NA,NA
202,0.5,0,,NA,NA
203,0.5,0,,NA,NA
204,0.5,0,,NA,NA
205,0.5,0,,NA,NA
206,0.5,0,,NA,NA
207,0.5,0,,NA,NA
208,0.5,0,,NA,NA
209,0.5,0,,NA,NA
210,0.5,0,,NA,NA
211,0.5,0,,NA,NA
212,0.5,0,,NA,NA
213,0.5,0,,NA,NA
214,0.5,0,,NA,NA
215,0.5,0,,NA,NA
216,0.5,0,,NA,NA
217,0.5,0,,NA,NA
218,0.5,0,,NA,NA
219,0.5,0,,NA,NA
220,0.5,0,,NA,NA
221,0.5,0,,NA,NA
222,0.5,0,,NA,NA
223,0.5,0,,NA,NA
224,0.5,0,,NA,NA
225,0.5,0,,NA,NA
226,0.5,0,,NA,NA
227,0.5,0,,NA,NA
228,0.5,0,,NA,NA
229,0.5,0,,NA,NA
230,0.5,0,,NA,NA
231,0.5,0,,NA,NA
232,0.5,0,,NA,NA
233,0.5,0,,NA,NA
234,0.5,0,,NA,NA
235,0.5,0,,NA,NA
236,0.5,0,,NA,NA
237,0.5,0,,NA,NA
238,0.5,0,,NA,NA
239,0.5,0,,NA,NA
240,0.5,0,,NA,NA
241,0.5,0,,NA,NA
242,0.5,0,,NA,NA
243,0.5,0,,NA,NA
244,0.5,0,,NA,NA
245,0.5,0,,NA,NA
246,0.5,0,,NA,NA
247,0.5,0,,NA,NA
248,0.5,0,,NA,NA
249,0.5,0,,NA,NA
250,0.5,0,,NA,NA
251,0.5,0,,NA,NA
252,0.5,0,,NA,NA
253,0.5,0,,NA,NA
254,0.5,0,,NA,NA
255,0.5,0,,NA,NA
256,0.5,0,,NA,NA
257,0.5,0,,NA,NA
258,0.5,0,,NA,NA
259,0.5,0,,NA,NA
260,0.5,0,,NA,NA
261,0.5,0,,NA,NA
262,0.5,0,,NA,NA
263,0.5,0,,NA,NA
264,0.5,0,,NA,NA
265,0.5,0,,NA,NA
266,0.5,0,,NA,NA
267,0.5,0,,NA,NA
268,0.5,0,,NA,NA
269,0.5,0,,NA,NA
270,0.5,0,,NA,NA
271,0.5,0,,NA,NA
272,0.5,0,,NA,NA
273,0.5,0,,NA,NA
274,0.5,0,,NA,NA
275,0.5,0,,NA,NA
276,0.5,0,,NA,NA
277,0.5,0,,NA,NA
