"K","phi","m","seed","H","r","it","sampstrat","nsamp","mismatch_mean","mismatch_max","mod1_p","mod2_p","mod1_coeff","mod2_coeff","mod1_sig","mod2_sig","mod_sig"
1,0.5,0.25,1,0.05,0.3,0,"full",3390,0.221632516131466,0.803014149456804,3.66919870612963e-133,2.19929433531368e-156,0.373458620580785,0.463592108465159,TRUE,TRUE,1
1,0.5,0.25,1,0.05,0.3,0,"rand",36,0.207805706329031,0.563520131041037,NA,NA,NA,NA,NA,NA,NA
1,0.5,0.25,1,0.05,0.3,0,"grid",36,0.26140281966624,0.65249535765724,NA,NA,NA,NA,NA,NA,NA
1,0.5,0.25,1,0.05,0.3,0,"trans",36,0.220572698410529,0.450912080322451,NA,NA,NA,NA,NA,NA,NA
1,0.5,0.25,1,0.05,0.3,0,"envgeo",36,0.235832379714242,0.504502514325739,NA,NA,NA,NA,NA,NA,NA
1,0.5,0.25,1,0.05,0.3,0,"rand",81,0.216711111689677,0.641513256945401,NA,NA,NA,NA,NA,NA,NA
1,0.5,0.25,1,0.05,0.3,0,"grid",81,0.219033649632602,0.564372971119816,NA,NA,NA,NA,NA,NA,NA
1,0.5,0.25,1,0.05,0.3,0,"trans",81,0.223683439411711,0.680749448149601,NA,NA,NA,NA,NA,NA,NA
1,0.5,0.25,1,0.05,0.3,0,"envgeo",81,0.22495925146606,0.577153583167453,NA,NA,NA,NA,NA,NA,NA
1,0.5,0.25,1,0.05,0.3,0,"rand",144,0.209354577045075,0.641513256945401,NA,NA,NA,NA,NA,NA,NA
1,0.5,0.25,1,0.05,0.3,0,"grid",144,0.223243286014942,0.571878307124589,NA,NA,NA,NA,NA,NA,NA
1,0.5,0.25,1,0.05,0.3,0,"trans",144,0.228224470510421,0.685916533754722,NA,NA,NA,NA,NA,NA,NA
1,0.5,0.25,1,0.05,0.3,0,"envgeo",144,0.219999227492198,0.58187616492168,NA,NA,NA,NA,NA,NA,NA
1,0.5,0.25,1,0.05,0.3,0,"rand",225,0.215344974378863,0.641513256945401,NA,NA,NA,NA,NA,NA,NA
1,0.5,0.25,1,0.05,0.3,0,"grid",225,0.229822950124184,0.702460697861886,NA,NA,NA,NA,NA,NA,NA
1,0.5,0.25,1,0.05,0.3,0,"trans",225,0.242805169356914,0.685916533754722,NA,NA,NA,NA,NA,NA,NA
1,0.5,0.25,1,0.05,0.3,0,"envgeo",225,0.240502089440863,0.702460697861886,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"full",6232,0.222708151119008,0.809040733872555,7.36004435324208e-277,7.40484675747411e-238,0.385175066665936,0.425606727216805,TRUE,TRUE,1
2,0.5,0.25,1,0.05,0.3,0,"rand",36,0.233104329694442,0.510397264005838,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"grid",36,0.212816395362387,0.703576306537769,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"trans",36,0.231087615063256,0.628951176168321,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"envgeo",36,0.222696666861861,0.484826558267121,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"rand",81,0.236698889443889,0.711071266426247,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"grid",81,0.203864501523034,0.625076456669058,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"trans",81,0.239478981114396,0.792854304984602,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"envgeo",81,0.243839298762575,0.804055498766827,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"rand",144,0.224714801608872,0.711071266426247,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"grid",144,0.245717497953075,0.804055498766827,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"trans",144,0.215740024455064,0.660520543682387,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"envgeo",144,0.234059396167618,0.809040733872555,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"rand",225,0.225221179110706,0.711071266426247,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"grid",225,0.216258265863388,0.592869954401412,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"trans",225,0.233110250326569,0.651547377616239,NA,NA,NA,NA,NA,NA,NA
2,0.5,0.25,1,0.05,0.3,0,"envgeo",225,0.233481040978988,0.675455374059777,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"full",2843,0.18744806162296,0.675455374059777,3.92465714335139e-232,3.8631202775937e-171,0.521601040716311,0.419227652980877,TRUE,TRUE,1
1,1,0.25,1,0.05,0.3,0,"rand",36,0.161044221403582,0.318371716583165,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"grid",36,0.19349364463829,0.583528067264433,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"trans",36,0.18793445890641,0.407273632437977,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"envgeo",36,0.219634771391289,0.435712221596564,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"rand",81,0.17361268554076,0.444382123721743,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"grid",81,0.199492799641807,0.536941770787528,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"trans",81,0.187789210302719,0.548816734837547,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"envgeo",81,0.193484875592273,0.522469488305991,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"rand",144,0.174673701532795,0.49616572557846,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"grid",144,0.184852729937911,0.463364528316526,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"trans",144,0.162440466193895,0.405055321838475,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"envgeo",144,0.199206132670352,0.650243128486095,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"rand",225,0.179625450598856,0.49616572557846,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"grid",225,0.183078780266182,0.549451456965601,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"trans",225,0.170979072475644,0.407273632437977,NA,NA,NA,NA,NA,NA,NA
1,1,0.25,1,0.05,0.3,0,"envgeo",225,0.199181191398408,0.650243128486095,NA,NA,NA,NA,NA,NA,NA
2,1,0.25,1,0.05,0.3,0,"full",5505,0.183913462178608,0.646758080358135,0,0,0.494324816929222,0.42483773836093,TRUE,TRUE,1
2,1,0.25,1,0.05,0.3,0,"rand",36,0.185317145281155,0.486883634497113,NA,NA,NA,NA,NA,NA,NA
2,1,0.25,1,0.05,0.3,0,"grid",36,0.208476036145123,0.513615917180907,NA,NA,NA,NA,NA,NA,NA
2,1,0.25,1,0.05,0.3,0,"trans",36,0.205566013360764,0.467090862913364,NA,NA,NA,NA,NA,NA,NA
2,1,0.25,1,0.05,0.3,0,"envgeo",36,0.198609267062034,0.444834896359672,NA,NA,NA,NA,NA,NA,NA
2,1,0.25,1,0.05,0.3,0,"rand",81,0.171631736215825,0.486883634497113,NA,NA,NA,NA,NA,NA,NA
2,1,0.25,1,0.05,0.3,0,"grid",81,0.182088902617305,0.415117074118707,NA,NA,NA,NA,NA,NA,NA
2,1,0.25,1,0.05,0.3,0,"trans",81,0.181630491033416,0.467090862913364,NA,NA,NA,NA,NA,NA,NA
2,1,0.25,1,0.05,0.3,0,"envgeo",81,0.203101831022835,0.453576306537769,NA,NA,NA,NA,NA,NA,NA
2,1,0.25,1,0.05,0.3,0,"rand",144,0.179346209006747,0.644168972143122,NA,NA,NA,NA,NA,NA,NA
2,1,0.25,1,0.05,0.3,0,"grid",144,0.189111051274745,0.646758080358135,NA,NA,NA,NA,NA,NA,NA
2,1,0.25,1,0.05,0.3,0,"trans",144,0.177348608146892,0.486883634497113,NA,NA,NA,NA,NA,NA,NA
2,1,0.25,1,0.05,0.3,0,"envgeo",144,0.196452449187047,0.60941430548101,NA,NA,NA,NA,NA,NA,NA
2,1,0.25,1,0.05,0.3,0,"rand",225,0.180568765058289,0.644168972143122,NA,NA,NA,NA,NA,NA,NA
